idx,headline,summary,labels
42,11 of our best weekend read,the case for the new york city subway. meet the men’s olympic figure skating champ who loves winnie the pooh. read up on golden globes nominees and how sexual harassment scandals may change the red carpet.,5
43,11 of our best weekend read,"this weekend, learn how both the heisman and a gingerbread house is made; find out who has been swept up in the continuing avalanche of sexual harassment revelations, and so much more.",8
44,"11,000 u.s. troops in afghanistan, pentagon says in effort at transpar","the defense department had for years publicly disclosed only the number of troops taking part in the nato-led mission in afghanistan, not counterterrorism forces there.",7
45,"11-year-old has spent her life in jail, a serial killer as a cellm","meena, an afghan girl born behind bars, has never been outside, and her convicted mother can keep her until she is 18. she is not the only child there, either.",7
46,12 killed during church service in nigeria; pope condemns viol,"the shootings were likely to be linked to drug gangs active in both nigeria and south africa, a police official said.",7
47,12 shows we’ll be talking about in novemb,"this month will feature an especially impressive lineup of new shows, with an abundance of big and promising names attached.",0
48,13 beloved tv holiday specials you can stream right now,the grinch and frosty the snowman have an almost santa-like stature in the christmas pantheon. and several hanukkah specials and more secular tales offers viewers a bit of diversity.,2
49,"13 far-flung, beautiful destinations that appeared in t this year","in 2017, we spanned the globe, stopping at the hoh rain forest in washington state, the dunes of cap ferret and india’s lost mansions.",5
50,13 great titles expiring from netflix in januari,musicals! monsters! mean girls! catch these great movies and tv shows before they’re gone.,5
51,"13,000 tourists stranded in a swiss ski resort for 2 day","a combination of snow and rain shut off access to zermatt, near the matterhorn. until late wednesday afternoon, helicopter was the only way out.",5
52,16 diplomats sickened after attack last year in havana,the state department reported on thursday that at least 16 employees became ill after a possible sonic attack starting last december in homes of u.s. embassy employees in cuba.,5
53,"16 years of war in afghanistan, in pictur","photographs chronicle a war that has vexed three presidencies and outlasted a dozen military commanders, and there is no end in sight.",7
54,17 isis fighters reported killed as u.s. ends lull in libya airstrik,"a half-dozen “precision strikes” hit a training camp about 150 miles southeast of surt, from which militants were plotting and conducting attacks, the military said.",1
55,18 shuttered catholic churches may soon be up for sal,"the archdiocese of new york deconsecrated the churches in june, paving the way for the properties to be repurposed or sold.",7
56,"18 years into the new millennium, finding my younger self","none of my efforts to break old habits will add one day to my life, but i’m experiencing some of the passion i felt in the first 18 years of my life.",5
57,2 american families are mourned after plane crash in costa rica,nine people from two families in new york and florida were among the 12 people killed in the crash.,7
58,2 arrested as rotterdam concert is canceled over terrorism threat,"a show in the netherlands by the band allah-las was abandoned on the advice of the police in spain, where attacks killed 15 last week.",1
59,2 frenchwomen accuse prominent islamic scholar of sexual assault,the activist henda ayari and another woman filed police complaints accusing tariq ramadan of violent attacks. he is the author of numerous books on modern islam and a well-known figure in the media.,5
60,"2 journalists, at fox and washington post, are accused of misconduct","james rosen, a washington correspondent, left fox news last month, and joel achenbach, a washington post reporter, received a 90-day suspension on wednesday.",8
61,2 killed in amtrak crash shared a passion for train,"the chance to ride on a train’s maiden run on a newly opened line was irresistible for zack willhoite and james hamre, who volunteered for a rail advocacy group.",7
62,2 leading online black markets are shut down by author,"the authorities took control of one large site, hansa market, and covertly operated it to catch refugees fleeing the closing of the largest market, alphabay.",5
63,2 men charged in quadruple homicide in troy; motive is a mysteri,"james w. white and justin c. mann, both of schenectady, n.y., were charged in the deaths of a woman, her 11- and 5-year-old children and her partner.",7
64,2 navy airmen and an object that ‘accelerated like nothing i’ve ever seen’,"what began as a training mission took a bizarre turn in 2004, an encounter that caught the attention of a pentagon program investigating u.f.o.s.",5
65,2 police officers are charged in assault of mentally ill man,"the man, zachary bear-heels, 29, died after the omaha officers used a taser and punched him. the coroner ruled the death a result of “excited delirium” and the officers were fired.",3
66,"2 psychologists in c.i.a. interrogations can face trial, judge rul","the suit is one of the few attempts to hold people accountable for harm caused by the central intelligence agency’s program in the years after the sept. 11, 2001, attacks.",5
67,2 senators question effects of a reverse mortgage propos,they worry that a small wording change in a budget request might increase the chances of surviving spouses losing their homes.,5
68,2 sisters in charlottesville sue far-right leaders over car attack,"the lawsuit names 28 defendants, including the man suspected to be the driver and organizers of the white nationalist rally.",5
69,2 suspects held in plot to kill the u.k. prime minist,the pair are accused of a hazy plan to bomb theresa may’s offices and residence on downing street and then to stab her to death.,1
70,2 texas students sue schools to freely protest the pledg,"in separate lawsuits, the students said their schools violated their constitutional rights to protest injustice by sitting through the pledge of allegiance.",5
71,2 top soccer officials found guilty in fifa cas,the verdicts against juan ángel napout and josé maria marin partially resolved a trial in the united states’ case focused on fifa.,8
72,2 women who settled with o’reilly over sexual harassment sue for defam,"andrea mackris and rebecca gomez diamond, both former fox news employees, contend that statements by mr. o’reilly and the network depicted them as liars.",5
73,20 must-read books on the vietnam war,here’s a list of essential reading — just in time for the new ken burns documentary — on the conflict that divided america.,5
74,20 percent more smokers quit after $1 price increas,"when the price of a pack of cigarette increases by $1, there is a 20 percent increase in rates of quitting smoking.",5
75,20 wines for under $20: weeknight pleasures for relaxed even,these easygoing bottles will not challenge or demand. they are all refreshing pleasures and great values. but they will also reward attention.,8
76,2017 breeders’ cup contenders: the experts make their pick,joe drape and victor mather of the new york times weigh in on the contenders for the breeders’ cup world championships.,5
77,"2017 set record for losses from natural disasters, insurer say","hurricanes, fires and floods drove insurance payouts to $135 billion last year.",7
78,2017: the year in new york,"the subways slowed down, chris christie took some time to relax at the beach, and a 47-year-old murder was solved. here are the stories that got new yorkers talking in 2017.",5
79,"2017’s best technology tips and tricks: you asked, we answ",readers of the times’s personal technology section had lots of questions. here we highlight the most compelling — in terms of their connection to current events or in reader response.,5
80,2018 grammy nomin,the nominees for 20 of the 84 categories.,5
81,"2018 world cup draw: 32 teams, 1 go","friday’s draw for the 2018 world cup will sort the field of 32 countries into eight first-round groups. how they got to russia, and what they expect when they get there, is different for each of them.",8
82,"21 years later, jeff maier gets to relive his big mo","he is now the father of three. and yes, he was keeping tabs on the yankees on saturday when another 12-year-old fan got involved in a postseason home run.",8
83,21st century fox pressed by investment group to overhaul board,the ctw investment group said the company’s directors had failed to effectively address the “longtime ethics crisis” at fox news in a way that put 21st century fox at risk.,5
84,21st-century repairman: the robot in the gas main,"con edison is using cisbot for work beneath the streets. it crawls through gas mains, reducing the need to rip up pavement and disrupt neighborhoods.",5
85,23 women accuse former queens priest of abusing them as children,"the man, who was assigned to the parish for nearly 25 years, is accused of sexually abusing the girls when they were 5 to 16 years old, between 1972 and 1994.",7
86,26 young women from nigeria found dead in mediterranean sea,"the women, estimated to be between 14 and 18 years old, are believed to be victims of sex trafficking, the authorities said.",7
87,"27 contact lenses are found in woman’s eye, doctors report",a medical team in britain decided to publicize the case to raise awareness about safe contact lens use.,5
88,"270,000 rohingya have fled myanmar, u.n. say","camps in bangladesh, already crowded and underserved, are “bursting at the seams” with people fleeing the military crackdown in myanmar.",7
89,29 minutes from new york to washington? elon musk teases a new hyperloop,the entrepreneur said on twitter that he had verbal approval to build a transportation artery connecting cities from new york to washington d.c.,5
90,2nd federal judge strikes down trump’s new travel ban,"hours after a judge in hawaii blocked most of president trump’s order from taking effect, a judge in maryland used somewhat different grounds to reach the same result.",5
91,3 books that delve into what work means to u,"the workplace is evolving, as is our relationship to it. these three novels explore how work interacts with our personal lives.",5
92,3 books that explore catalonia’s fight for independ,the secessionist movement has been prominent for years.,5
93,3 books on north korea and the threat of nuclear war,"two books offer readers insight into the orwellian society, and another discusses policy solutions.",5
94,3 chill-proof party look,"a holiday cheat sheet: styles for every style, and — bonus — you won’t freeze in them.",0
95,3 killed in new mexico school shoot,"the new mexico state police said no other injuries were reported in the shooting, which took place near the navajo nation.",7
96,3 killings in tampa frighten residents and perplex the polic,"“everybody at this point is a suspect,” the city’s interim police chief told residents at a community meeting.",1
97,3 united nations soldiers are killed in northern mali,"the west african country has become one of the united nations’ deadliest peacekeeping missions, with more than 130 fatalities in four years.",7
98,"3 weddings, 4 dozen rabbis and 1,400 cupcak",three couples denied marriage in israel for various reasons were wed in a festive ceremony in new york.,5
99,30 vaquita porpoises are left. one died in a rescue mission.,scientists called off an effort to save one of the world’s rarest marine mammals — the vaquita — when one died after being captured for rehabilitation.,7
100,"36 hours in kigali, rwanda","more than 20 years after the horrific genocide in rwanda, kigali is emerging as a proud city, known for its great coffee and dining, progressive start-ups and energetic art scene.",4
101,4 barcelona suspects are charged with terrorism offens,court officials told the spanish news media that at least one of the suspects had confirmed that the cell had planned a larger attack.,7
103,4 labels to brag about knowing before everyone els,these buzzy designers are showing at new york fashion week. remember their names.,8
104,4 takeaways from bergdahl’s sentencing hear,"as sgt. bowe bergdahl waits to hear what his punishment will be for walking off his army post and into taliban captivity, military officials seek insights from his case.",5
105,4 u.s. women hit by acid attack in fr,"the americans, all in their twenties, were at a train station in marseille when a woman threw acid on them, injuring two, officials said. the police said “nothing suggests” it was a terrorist attack.",1
106,4 ways trump has moved to undo his predecessors’ legaci,"president trump has promised sweeping changes to health care, immigration, the iran deal and trade. here’s a look at where things stand now.",3
108,48 hours with carolina herrera before her show,the designer presented her spring/summer 2018 collection on monday night at the museum of modern art.,5
109,48 hours in london with gigi hadid,"the model’s collaboration with tommy hilfiger, now in its third season, debuted at the roundhouse this week. t followed along in the moments before the show.",0
110,487 original programs aired in 2017. bet you didn’t watch them all.,"the staggering growth of original shows largely comes from the seemingly endless budget lines that help produce new shows for streaming services, chiefly netflix.",5
114,5 destinations for the thanksgiving travel,"for many americans, thanksgiving travel generally means visiting family and perhaps some shopping. but if you have time for something a little different this year, there are worthwhile events happening across the country, in big cities and spots more off the beaten path.",8
115,5 flight safety videos worth watch,a new british airways video featuring some of the country’s best-known actors and comedians is the latest in a long line of entertaining flight safety films.,5
116,5 last-minute labor day destin,"this labor day weekend is not the last long holiday weekend of the year, but it’s the last one of this summer. here are five trip itineraries to consider from our 36 hours series.",5
117,5 lessons seattle can teach other cities about amazon,"for seattle, amazon has become far more than a big employer and taxpayer.",5
118,5 questions about single-payer health car,the odds are rising that democrats will make a push toward single-payer when they next are in charge. here are the questions to consider.,5
119,5 shows to see if you’re in new york in decemb,"dark plays are fitting for a dark month, and perhaps for our national mood. these productions offer criticism, mystery, warning and hope.",5
120,5 shows to see if you’re in new york in januari,"for the new year, productions that aim to shake up your senses and challenge your assumptions. plus: ’80s jargon and hair.",5
121,5 shows to see if you’re in new york in novemb,"“brigadoon” appears (briefly), amy schumer steps onto broadway and an acclaimed musical returns to a bigger stage.",8
122,5 shows to see if you’re in new york in septemb,"group weddings, korean pop, a superannuated peter pan and a transgender emily post are among the promising theatrical experiences of september.",8
123,5 styling tips from new york fashion week,"from oversize shirts to sneakers with dresses, tricks to take away from the shows in new york this week.",5
124,5 teenagers are charged with murder after a man is struck by a rock from an overpass,"a prosecutor called the killing a “willful and wanton act.” the teenagers, who were denied bond, will be charged as adults.",7
125,5 things to cook while watching ‘arrested development’ rerun,you can get your fix of frozen bananas and bluth family egotism by streaming reruns of the show on netflix.,5
126,5 things to cook while watching ‘seinfeld’ rerun,"“seinfeld” wasn’t a show about “nothing.” it was, at least in part, a show about food.",8
128,5 ways to get good customer service from an airlin,"tweeting at a carrier works, just don’t mock them and four other tips to make your flight smoother.",8
129,5 of our favorite climate stories of the year,"we asked our reporters and editors to pick a memorable story they worked on, large or small.",8
130,5 ‘psycho’ surprises: inside the most familiar scene in movi,a new documentary examines hitchcock’s film from various angles. did you know scorsese modeled a fight sequence in “raging bull” on the shower scene?,5
131,52 places to go in 2018,a starter kit for escaping into the world.,5
132,6 holiday toy crazes and why they captivated kids (and parents),barbie. the hula hoop. the rubik’s cube. cabbage patch kids. every generation had its must-have toys. here are some of the stories behind them.,5
133,6 spooky travel destinations for the halloween season,"while a few cities provide a spooky vibe all-year-round, festivals, theme park pop-up events and other haunted happenings elsewhere have helped make halloween a travel season all its own.",5
134,6 things parents should know about sending kids back to school,a time to explore mixed emotions as we say goodbye to summer and say hello to new expectations.,8
135,"644,000 old warrants scrapped for crimes like public drink",a move by several new york district attorneys to dismiss years-old summonses was the latest effort in the city to reduce the number of people tried for nonviolent crimes.,4
136,"65 percent of mexicans view u.s. negatively, survey find","the result is a stark contrast to pew’s survey of 2015, when 66 percent of mexicans had a generally positive view of the united states.",7
137,67 former attorneys general have a message: condemn hate bluntli,"in a statement on monday, the former attorneys general recommended a response along the lines of bill baxley’s salty letter to a k.k.k. leader in 1976.",4
138,7 good movies expiring from netflix in august,"every month, as various licenses expire, streaming services lose movies and tv series from their catalogs. here are seven movies leaving netflix in august.",5
139,7 in-depth articles tracing ratko mladic’s downfal,"the bosnian serb former general, convicted of war crimes for the slaughter of bosnian muslims, has shaped the region’s image in war and in peace.",7
140,7 million american men carry cancer-causing hpv viru,the incidence of mouth and throat cancers caused by the human papilloma virus in men has now surpassed the incidence of hpv-related cervical cancers in women.,7
141,7 movies to watch this labor day weekend,"from “modern times” to “office space,” here are a few movies about work to sample this weekend.",5
143,7 richard thaler columns that explain how human behavior affects econom,"richard h. thaler, who won the 2017 nobel memorial prize in economic science, is no stranger to our pages. here are some of his notable submissions.",5
144,7 shows for president trump to watch on his vac,the president is spending 17 days in new jersey and new york. a few of our critics weigh in with recommendations of shows to watch (besides the news).,8
145,7 stopovers that make adding a day (or more) to your trip worthwhil,"the stopover — a daylong layover (or longer) — used to be a dreaded affair. these days, it's something to look forward to.",5
146,7 wishes for 2018,2017 was one of the darker years in modern american history. here’s hoping for the beginnings of a turning point.,4
147,"75,000 apply for state college scholarships, but many won’t qualifi","low grade-point averages and breaks in schooling are challenging requirements, especially for lower-income students — and they often need help the most.",7
148,"8 easy, meaningful new year’s resolutions for better health","you don’t need fad diets, supplements, fancy workouts or lots of time or money to improve your health.",5
149,8 fall foliage destinations offering more than just pretty leav,eight destinations spanning the continental united states that offer pretty trees — and a lot more to fill up a perfect autumn weekend trip.,5
150,8 things fans did not expect in the patriots-chiefs gam,"the patriots lost to the chiefs, 42-27, on a night of rarities for the bill belichick era.",8
151,8 ways to have a better relationship in 2018,here’s some advice for improving your relationship in the new year.,5
152,84 percent of puerto rico still doesn’t have pow,"a look at the recovery effort in puerto rico by the numbers, nearly three weeks after hurricane maria made landfall.",7
153,9 back-to-school tips for parents and stud,"between the social-media-fueled pressure, college admissions madness and bullying culture, schools today can be a minefield. we collected some education-themed op-eds to help guide families as they settle into the new year.",5
155,9 new books we recommend this week,suggested reading from editors and critics at the new york times.,5
156,9 new books we recommend this week,suggested reading from editors at the new york times.,5
157,9 new fashion brands we discovered this year,"from maximalist pajamas to subversive swedish men’s wear, t featured a range of emerging brands in 2017. here, a roundup of some that still have us talking.",8
158,9 ways to work better in 2018,"our best tips and tricks for taking your career into your own hands, navigating workplace culture, and just getting through the day.",5
159,"9 weeks after harvey, houston celebrates world series win",few cheered the astros’ first world series title louder than those hit hard by the floodwaters.,2
160,9/11: finding answers in ashes 16 years lat,new york’s medical examiners have never given up hope that their analysis of dna can help identify the victims lost 16 years ago.,7
161,"911 calls from nursing home where residents died: ‘oh my god, this is crazy’","the police in hollywood, fla., released 911 calls from a nursing home under investigation after some of its residents died in the post-hurricane heat.",7
162,"91st edition of a parade, and always new","security was stepped up for the thanksgiving day parade, but the children and adults along the route paid more attention to olaf and the grinch.",2
163,"99 years later, navy probing warship disaster off long island","what caused the sinking of the u.s.s. san diego, the only major american warship lost in world war i, which became an underwater haven for divers and marine life?",5
164,99-million-year-old amber suggests ticks sucked dinosaur blood,"it is rare to find parasites with their hosts in the fossil record, and the discovery is the first direct evidence of the pests feeding on dinosaur blood.",5
165,"a $1,000 day in cape town for $100","taking a high-end itinerary in the charming south african city and, keeping its general spirit, remaking it on a more modest budget.",5
166,"a $10 photo, found at flea market: could this be billy the kid?","experts say it’s a rare, valuable photo of the famous outlaw, who appears to be posing alongside the man who would shoot him dead.",5
167,"a $55 million gift, and a new name, for the mid-manhattan librari",a gift from the stavros niarchos foundation will help cover the cost of renovating the new york public library’s largest branch.,2
168,a 100-car army of sound in los angel,a new composition by ryoji ikeda created a wash of sound — car stereos blaring variations on the note a — as part of the red bull music academy festival.,5
169,a 20-year age gap makes no differ,"she is two decades older. when she asked him about it, “he said it didn’t bother him, so it didn’t bother me.”",2
170,a 3-way debate is expected to be a 2-on-1 against de blasio,"the republican and independent candidates for mayor are expected to take aim at mayor bill de blasio in tuesday’s debate, while ignoring one another.",0
171,a 40-foot cross has honored war dead for 90 years. is it unlawful?,"an appeals court ruled against the longstanding monument in maryland, potentially setting up a supreme court decision on when religious symbols can be on public property.",5
172,a 73-year-old man is severely burned in queens by an exploding contain,"the explosive was in a cylindrical quaker oats container, the police said. the man was in critical condition at nassau university medical center.",7
173,"a 9-year-old tripped, fell and discovered a million-year-old fossil","jude sparks was playing with his brothers in new mexico when he stumbled over the fossilized tusk of a stegomastodon, a prehistoric, elephantine creature.",5
174,a bff takes on a diyer (lol),a designer and her business partner brought their decorating experience and sense of style to organized chaos in an apartment on the upper west side.,5
175,a barrier or a fair fee? readers react to the met’s new admission polici,"last week, the metropolitan museum of art announced it would begin charging out-of-town visitors a mandatory fee, a change that divided readers.",7
176,a baseball trivia quiz for the holiday,"can you name the four most valuable player award winners, other than babe ruth, who have four-letter first and last names? if so, that’s one question down and 49 to go.",5
177,a battle to save the world’s favorite treat: chocol,"in costa rica, researchers are cloning cacao hybrids resistant to frosty pod rot, a blight that has spread throughout latin america.",5
178,"a beer festival in china has german roots, but no lederhosen","thousands attended the qingdao international beer festival this summer in china. if it looks like oktoberfest, there is a good reason.",5
179,a beginner’s guide to backing up photo,"whether they’re digital photos on your smartphone or old negatives in your attic, here’s how to get started tackling your photo clutter.",5
180,a beloved boutique owner’s favorite th,"uncovering the passions and inspirations of makie yahagi, who has stores in new york and tokyo.",2
181,"a better beet, fresh from the market",canned beets just don’t compare to the sweet and earthy ones just pulled from the garden.,5
182,a better kind of nursing hom,"at green houses, residents have more independence and facilities are less institutional — a big improvement over most nursing homes, new research finds.",5
183,"a better, safer battery could be coming to a laptop near y","a start-up company in massachusetts says it has found a way to turbocharge alkaline batteries for a safer, cheaper and rechargeable alternative to lithium ion.",5
184,a big bill after visiting the e.r.?,a former health care administrator comments on for-profit health care companies.,5
185,a big college sports business is about to get bigg,"if learfield merges with img college, it will command near total control over the niche but lucrative market of college sports multimedia rights.",0
186,"a big deal in big food, irene rosenfeld retires from mondelēz","the c.e.o. of a huge food company is stepping down after more than a decade at the helm. she created value for shareholders, but consumer tastes are changing.",5
187,a big n.f.l. game comes to mexico city. these guys have it covered.,"the podcast primero y diez, or first and 10, exemplifies the passion for american football in mexico and the kind of fans the league is cultivating.",8
188,a big test of police body cameras defies expect,"the results of the largest, most rigorous study of the issue in the u.s. show surprisingly little change in police behavior.",5
189,a big turnover in the n.f.c.: the top teams at midseason,"four teams at the top of the conference did not make the playoffs last year. giants, packers, cowboys, lions, where are you?",8
190,a big wave of cash (but with dry spots) for democratic house challeng,"the party is struggling to recruit candidates in working-class areas, and it might have too many challengers in the most affluent districts.",8
191,a bill funding arts and humanities endowments passes house committe,"months after president trump proposed eliminating the n.e.a. and the n.e.h., a bill to finance them was approved by the appropriations panel.",4
192,a birkin bag in the box is worth a lifetime of debt,"at new york loan company, an upscale pawnshop, clients use designer handbags like credit cards. one reason to hold on to the packaging.",8
193,a bit of new york city history at risk,other cities create replicas of past grandeur to attract visitors. new york has the real thing — and should preserve it.,5
194,"a bitcoin hedge fund’s return: 25,004 percent (that wasn’t a typo)","the pantera bitcoin fund was set up in 2013, when few on wall street were interested in cryptocurrencies. it has since ridden the bitcoin wave to blockbuster returns.",5
195,a black royal? meghan markle won’t be the first,"black women have become royals for years and years, unbeknown to many.",5
196,a blind runner and his very good boy,"guide dogs are taught to keep the blind safe. now they’re being trained to help guide visually impaired runners in road races — and maybe, someday, in a marathon.",5
197,a bold explorer surfaces in ‘wandering lake’,"patty chang’s show at the queens museum sees water as a metaphor for gender fluidity, migration, life.",5
198,a book from a blogger about disappearing new york,the blog “jeremiah’s vanishing new york” has been a chronicle of loss for a decade.,0
199,"a boom in confederate monuments, on private land","unlike the confederate memorials of yesteryear, erected in busy public squares, today’s are mostly appearing far from the bustle of daily life.",5
200,a boondoggle masquerading as tax reform,the proposals outlined by president trump and congressional leaders depend on the discredited notion that tax cuts for the rich will help everyone.,3
201,a boulder restaurant celebrating new-coloradan cuisin,"the long food narrative of the state informs the whole menu at arcana, using almost entirely local meat and produce.",2
202,"a boy’s scream, a door ajar and 12 dead in a bronx fir","the city’s deadliest blaze since 1990 was a “horrible, tragic accident” caused by a child playing with a stove, the mayor said.",7
203,a bride’s countdown to glowing skin,"some steps brides can take on their own to prepare and nurture their skin in the weeks, days and hours before their wedding.",0
204,a brief anatomy of trump’s immigration meeting with lawmak,"the west wing met the apprentice when president trump presided over a meeting, later broadcast on television, of lawmakers from both parties debating immigration policy in the cabinet room.",1
205,a brief conversation with kit harington about jon snow on ‘game of thrones’,“it seems ridiculous in cold climates not to have your head protected.”,5
206,"a brief history of emoji art, all the way to hollywood","as “the emoji movie” hits theaters, here’s a look back at landmark works — books, video and visual art — that make use of the images.",5
207,"a brief, but volatile, tenur",anthony scaramucci was named communications director on july 21 and removed july 31. here are the highlights from the moments in between.,0
208,a bronx takeout spot honors the memory of a moth,"margarita’s, serving dominican cuisine, is a permanent version of what once was a food truck.",5
209,"a brutal competition, island to island, in sweden","on the stockholm archipelago, athletes cover a 46-mile trek that takes them over 26 islands. rich roll, who runs a fitness podcast, was one of them.",5
210,a bull market should make investors happy. this one isn’t.,"markets are breaking one record after another, but many investors are on the sidelines. the anxiety is a contrast to the euphoria of other bull markets.",5
211,a cage fighter with a soft touch for hard-core jihadist,"usman raja, a former mixed martial arts fighting star, has earned international attention for his singular method of rehabilitating jihadists.",5
212,a cake you can take with you anywher,the visiting cake has a durable goodness that makes it a perfect treat for travel.,5
213,a calming elixir to drink before bedtim,the creative consultant matilda goad includes a warm blend of turmeric and coconut milk in her nightly de-stressing routine.,5
214,a canadian defeats nadal on canada’s biggest tennis stag,"denis shapovalov, 18, ranked no. 143 in the world, upset rafael nadal in three sets in the round of 16 at the rogers cup in montreal.",8
215,a capital consumed by talk of scandal and suspicion,"a day after the first charges from the investigation into russian election interference, the president seethed, his party ducked and the opposition chortled.",5
216,a catholic priest in wisconsin reveals a secret: ‘i am gay’,"father gregory greiten, a priest in milwaukee, opened up to his parishioners and to readers of a catholic newspaper about his sexuality, saying role models were needed to say there is nothing wrong with being gay.",4
217,a catskills inn gets a modern makeov,scribner’s catskill lodge has a contemporary look (and cuisine) and an ideal location for hunter mountain skiing.,8
218,a chance to catch vegan tuna,"whole foods is using ahimi, from a san francisco-based company, in vegan rolls and sushi.",8
219,a chance to defuse the catalonia crisi,the leaders of spain and catalonia have made their point. now it’s time to show true leadership.,5
